ISBN,bookTitle,bookAuthor
0060096209,A Little Help from Above,Saralee Rosenberg
0020442106,The Last Battle (The Chronicles of Narnia Book 7),C. S. Lewis
0027701301,Hatchet,Gary Paulsen
0020442009,Horse and His Boy,C. S. Lewis
0060085894,Frida : A Biography of Frida Kahlo,Hayden Herrera
0060085452,Boy Meets Girl,Meg Cabot
006018311X,"When You Look Like Your Passport Photo, It's Time to Go Home",Erma Bombeck
0060154462,The Affordable baby: A complete consumer guide to costs and comparisons for parents-to-be,Darcie Bundy
002322410X,"Plato : Euthyphro, Apology, Crito",F. J. Church
0007141076,Unless: A Novel,Carol Shields
0060159383,A Thief of Time: A Novel (Harper Novel of Suspense),Tony Hillerman
0002251760,The Forgetting Room: A Fiction (Byzantium Book),Nick Bantock
0006550924,Seven Years In Tibet,Heinrich Harrer
0020125607,"More Sniglets: Any Word That Doesn't Appear in the Dictionary, but Should",Rich Hall
0020125305,"Sniglets (Snig'lit : Any Word That Doesn't Appear in the Dictionary, But Should)",Rich Hall
0060182563,Underboss: Sammy the Bull Gravano's Story of Life in the Mafia,Peter Maas
006018518X,"Cemetery Stories : Haunted Graveyards, Embalming Secrets, and the Life of a Corpse After Death",Katherine Ramsland
0028615883,"Vegetarian Times Low-Fat &amp; Fast : 150 Easy Meatless Recipes  (Vegetarian Times , No 1)",Maimonides
0044422857,Great Interviews of the Twentieth Century (A Susan Haynes Book),John Clarke
0006177492,Home Run,Gerald Seymour
0060176709,The Little House: A Novel,Philippa Gregory
000716226X,The Bride Stripped Bare : A Novel,Nikki Gemmell
0060160713,The Broken Cord: A Family's Ongoing Struggle With Fetal Alcohol Syndrome,Michael Dorris
0006547613,Involved,Kate Oriordan
0060177349,Star Trek Memories,William Shatner
0020518501,For Whome the Bell Tolls  (REISSUE) (A Scribner Classic),Ernest Hemingway
0060099453,"Merry Christmas, Amelia Bedelia (I Can Read Book 2)",Peggy Parish
006017949X,Sacrament,Clive Barker
0060157577,Heartstones (Harper Short Novel Series),Ruth Rendell
003061368X,The Sunne in Splendour,Sharon Kay Penman
0060162767,The Great and Secret Show: The First Book of the Art,Clive Barker
0023018909,Masterpieces of the drama,Alexander W Allison
0002551675,Coppola and Eiko on Bram Stoker's Dracula,Francis Ford Coppola
0060165936,Dracula Unbound,Brian Wilson Aldiss
0024181900,"The Elements of Style, Third Edition",William Strunk Jr.
0020442505,The Silver Chair,C. S. Lewis
0029059801,Finite and Infinite Games,James P. Carse
006000925X,Daisy's Back in Town,Rachel Gibson
0060008032,Angels,Marian Keyes
0020419805,Helen Keller: From Tragedy to Triumph (The Childhood of Famous Americans Series),Katharine Wilkie
0060169036,The Chocolate Cookbook (Little Kitchen Collection),Patricia Lousada
006000150X,Diary of a Worm,Doreen Cronin
0060176784,Saying Grace: A Novel,Beth Gutcheon
003071091X,What Do Doozers Do?,Michaela Muntean
0060164719,John Train's Most Remarkable Occurrences,John Train
002517990X,Dog days at the White House: The outrageous memoirs of the Presidential kennel keeper,Traphes Bryant
0020280505,HOW TO STAY ALIVE IN THE WOODS,Bradford Angier
0060177861,Your Sacred Self,Wayne W. Dyer
0060178213,Bouncing Back: I'Ve Survived Everything...and I Mean Everything...and You Can Too!,Joan Rivers
0060176172,Star Trek Movie Memories,William Shatner
0060157119,"Mother Angelica's Answers, Not Promises: Straightforward Solutions to Life's Puzzling Problems",M. Angelica
006017613X,"Nora, Nora: A Novel",Anne Rivers Siddons
0060183772,A God in Ruins,Leon Uris
0006729835,The Callender Papers,Cynthia Voight
0006157629,4:50 From Paddington,Agatha Christie
0030604176,The official I hate love book,Skip Morrow
0060163879,Thicker Than Water,Bruce Zimmerman
0060175702,Empress of the Splendid Season,Oscar Hijuelos
0060161701,"I Want to Grow Hair, I Want to Grow Up, I Want to Go to Boise: Children Surviving Cancer",Erma Bombeck
0028636406,The Complete Idiot's Guide(R) to Scrapbooking,Wendy Smedley
0060168382,"Eat More, Weigh Less: Dr. Dean Ornish's Life Choice Program for Losing Weight Safely While Eating Abundantly","Dean, M.D. Ornish"
0060175818,The First Eagle,Tony Hillerman
0060179449,Twelve Red Herrings,Jeffrey Archer
0060092149,Married to the Viscount,Sabrina Jeffries
0028604458,The Love Book,Robert Rosenheck
0060007575,"In Sunlight, in a Beautiful Garden : A Novel",Kathleen Cambor
0060184957,"Pride, Prejudice and Jasmin Field : A Novel",Melissa Nathan
0028603958,Betty Crocker's New Cookbook: Everything You Need to Know to Cook (8th ed),Betty Crocker
0027912906,Harry and Shellburt (Ready-to-Read),Dorothy Van Woerkom
0060177632,Stitches in Time,Barbara Michaels
0060086661,Lily Dale: The True Story of the Town that talks to the Dead,Christine Wicker
0060161582,The Lost Continent: Travels in Small Town America,Bill Bryson
0060176733,The Distinguished Guest,Sue Miller
0060002077,A Gentleman's Honor,Stephanie Laurens
0028636589,Complete Idiot's Guide to Fitness,Claire Walter
0060172916,High Tide in Tucson: Essays from Now or Never,Barbara Kingsolver
0060001941,A Tree Grows in Brooklyn,Betty Smith
0006375952,City of Djinns,William Dalrymple
0060183349,Under Fire: An American Story,Oliver L. North
0060175605,Words I Wish I Wrote: A Collection of Writing That Inspired My Ideas,Robert Fulghum
0060114991,I'm Dancing As Fast As I Can,Barbara Gordon
0020225601,ARTHUR LUMIANSKIS LE MORTE D ARTHUR,Thomas Malory
006017546X,Mrs. Chippy's Last Expedition: The Remarkable Journal of Shackleton's Polar-Bound Cat,Caroline Alexander
0060011939,Veronika Decide Morir,Paulo Coelho
0060012897,Sheltering Rain,Jojo Moyes
0020442807,The Chronicles of Narnia Set,C. S. Lewis
0028604105,How to Solve a Murder: The Forensic Handbook,Michael Kurland
0060176075,Lily White,Susan Isaacs
0028632613,The Complete Idiot's Guide to Middle East Conflict,Mitchell Bard
0060163976,Family Pictures: A Novel,Sue Miller
0060165987,Slow Hand: Women Writing Erotica,Michele Slung
0026888130,Why Does It Thunder and Lightning? (A Just Ask Book),Chris Arvetis
0060099526,Quilting the Black-Eyed Pea: Poems and Not Quite Poems,Nikki Giovanni
0030850746,The Bluest Eye: A Novel,Toni Morrison
0028621697,The New York Public Library Desk Reference,Macmillan Publishing
003001512X,Discovering Ideas: An Anthology for Writers,Jean Wyrick
0029079705,Intercourse,Andrea Dworkin
0030975891,Sociology: Study of Human Relationships,Thomas
0030115078,"Encyclopedia and dictionary of medicine, nursing, and allied health",Benjamin Frank Miller
0023401354,"Community of Voices, A: Reading and Writing in the Disciplines",Toby Fulwiler
0020698461,BEST AMERICAN POETRY 1993,Louise Gluck
0006548539,Legends of the Fall,Jim Harrison
000611962X,The Guns of Navarone,Alistair Maclean
0060094818,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells
0025226207,"Cassell's French Dictionary : French-English, English-French",Denis  Girard
0002163713,"Cary Grant, haunted idol",Geoffrey Wansell
0006370829,Just Williams: An Autobiography,Kenneth Williams
0001047213,The Fighting Man,Gerald Seymour
0002253372,A good woman,Lisa Appignanesi
0002241358,Cocaine nights,J. G Ballard
0020332858,Laurence Olivier,Anthony Holden
0002252376,Of wee sweetie mice and men,Colin Bateman
0001048082,Made in America,Bill Bryson
0007114788,One for My Baby,Tony Parsons
0006156487,Saturday City,Jan Webster
0001046438,Liar,Stephen Fry
0020820445,With Fire and Sword,Henryk Sienkiewicz
000104687X,"T.S. Eliot Reading \The Wasteland\"" and Other Poems""",T.S. Eliot
0006380964,Survivor's Song,Mark Owens
0060170085,Death in a Strange Country,Donna Leon
0060168412,365 Ways to Cook Fish and Shellfish,Charles Pierce
0046410430,Vitamins and Your Health,Ann Gildroy
0007144350,Collins Complete Works of Oscar Wilde (Collins Classics S.),Oscar Wilde
0006548830,Information,Martin Amis
0029640407,Berlitz Greek for Travellers,Berlitz Publishing
0029690803,Berlitz Travel Guide to Corfu (Berlitz Travel Guide),Berlitz Travel Guide
0060007761,The Gulag Archipelago: 1918-1956,Aleksandr I. Solzhenitsyn
0060103132,Piaf;: A biography,Simone Berteaut
0029692407,Ibiza Travel Guide,Berlitz Publishing Company
0029693306,Madeira (Berlitz Travel Guide),Berlitz Travel Guide
0004704754,Complete Works of William Shakespeare,William Shakespeare
0060164115,Still Among the Living,Zachary Klein
0060173076,"How Could You Do That: The Abdication of Character, Courage, and Conscience",Laura Schlessinger
0060086629,"Barracuda 945 (Robinson, Patrick)",Patrick Robinson
0060177500,Small Gods: A Novel of Discworld,Terry Pratchett
0028640071,Complete Idiot's Guide to Urban Legends,Brandon Toropov
0030119197,The Trobrianders of Papua New Guinea (Case Studies in Cultural Anthropology),Annette  B. Weiner
0060083972,"When the Women Come Out to Dance : Stories (Leonard, Elmore)",Elmore Leonard
0020306652,Ball Four,Jim  Bouton
0060179384,Violent Ward,Len Deighton
0060183225,A Marriage Made in Heaven... or Too Tired for an Affair,Erma Bombeck
006009348X,Do Not Disturb (Avon Romance),Christie Ridgway
0060008784,Exit Strategies,Catherine Todd
0002116286,There's A Seal in my Sleeping Bag,Lyn Hancock
002047430X,The Elements of Editing: A Modern Guide for Editors and Journalists (Elements of Series),Arthur Plotnik
0030899788,"Yanomamo, the Fierce People (American Problem Studies)",Napoleon A. Chagnon
0030899915,Comparative cultural analysis: An introduction to anthropology,Keith F Otterbein
0030384427,A Book of Short Stories 1 (Perspectives in literature),Holt
0004701674,Collins Gem Sas Survival Guide (Collins Gem),John Wiseman
0060092971,The Seduction of an English Lady,Cathy Maxwell
0060084707,A Scandalous Lady,Rachelle Morgan
006000181X,With Her Last Breath,Cait London
0030437113,"Upper New England, a guide to the inns of Maine, New Hampshire, and Vermont (Country inns of America)",Peter Andrews
0004334787,"Collins-Robert French-English, English-French Dictionary",B. T. S. Atkins
0025430807,Arthur Rackham,Fred Gettings
0039282783,The Miraculous Hind: A Hungarian Legend,Elizabeth Cleaver
0030859670,The Israelis;: Founders and sons,Amos Elon
0030003474,How to Win at Trivial Pursuit: And Other Knowledge Games,Robert Heller
0002006588,Vancouver,David Cruise
006008460X,Cheaper by the Dozen (Perennial Classics),Frank B. Gilbreth
0060083425,Absolute Zero,Chuck Logan
0007100930,Good Intentions,Agnes Desarthe
0060176083,"Red, White and Blue",Susan Isaacs
0060176164,Low Country: A Novel,Anne Rivers Siddons
0002558122,Angelas Ashes,Frank Mccourt
0060007788,Finding Fish: A Memoir,Antwone Q. Fisher
000104799X,Monk's-hood,Ellis Peters
0002223929,Men on white horses,Pamela Haines
0006176992,Tea at Gunter's,Pamela Haines
0048230871,"The Lord of the rings,",J. R. R Tolkien
0048233862,"The hobbit, or, There and back again",J. R. R Tolkien
0060165529,Maybe the Moon: A Novel,Armistead Maupin
0060002069,The Lady Chosen,Stephanie Laurens
0060185074,The Vendetta Defense,Lisa Scottoline
0060092130,Dance of Seduction (Avon Romantic Treasures),Sabrina Jeffries
0060164190,Holy Terror: Andy Warhol Close Up,Bob Colacello
0060014040,My Stroke of Luck,Kirk Douglas
002040400X,Unexplained Sniglets of the Universe,Rich Hall
0006512062,Trials of Tiffany Trott,Isabel Wolff
0006543545,The bookshop,Penelope Fitzgerald
000712032X,Rumi: Hidden Music,Maryam Mafi
0020931808,Einstein's Space and Van Gogh's Sky: Physical Reality and Beyond,Lawrence Leshan
0002553384,The Best of Rock: The Essential Cd Guide (The Essential CD Guides),Alan Clayson
002054720X,WALDEN AND ON THE DUTY OF CIVIL DISOBEDIENCE,Henry David Thoreau
006001315X,"Monstrous Regiment (Pratchett, Terry)",Terry Pratchett
0060007834,Unnatural Fire : A Countess Ashby de la Zouche Mystery (Countess Ashby de La Zouche Mysteries),Fidelis Morgan
0060175699,A Simple Habana Melody : (from when the world was good),Oscar Hijuelos
0007128568,Calypso Dreaming,Charles Butler
0060012366,The Wee Free Men (Bccb Blue Ribbon Fiction Books (Awards)),Terry Pratchett
006000942X,How to Read Literature Like a Professor : A Lively and Entertaining Guide to Reading Between the Lines,Thomas C. Foster
0060008490,Death in Dublin: A Novel of Suspense (Peter McGarr Mysteries (Hardcover)),Bartholomew Gill
0060166932,Lost Boys,Orson Scott Card
0060013974,"Waterloo Station : A Novel (Grayson, Emily)",Emily Grayson
0060088575,Solitaire,Kelley Eskridge
0020633505,The New Age Herbalist: How to Use Herbs for Healing Nutrition Body Care and Relaxation,Richard Mbey
0002239183,Affliction,Fay Weldon
0006546684,Postcards,E Annie Proulx
0060089539,Glitz,Elmore Leonard
0006485200,The Piano Man's Daughter,Timothy Findley
0060185082,Wild Cats &amp; Colleens: A Novel,Morag Prunty
0028641701,The Complete Idiot's Guide to Understanding Buddhism,Gary Gach
0060014156,"Augusta, Gone: A True Story",Martha Tod Dudman
0060009012,The Lost Son: A Life in Pursuit of Justice,Bernard B. Kerik
0020545304,SHILLING FOR CANDLES,Josephine Tey
0060175907,Aphrodite: A Memoir of the Senses,Isabel Allende
0060083255,Ties That Bind: A Novel,Phillip Margolin
0060092661,One Kiss From You,Christina Dodd
0020811853,POSTCARDS,E. Annie Proulx
0002726874,Quartered Safe Out Here: A Recollection of the War in Burma,George MacDonald Fraser
0002316196,Curtain: Poirot's last case,Agatha Christie
000223257X,The Family Mashber,Der Nister
0006178316,Flights,Jim Shepard
006011195X,Careful He Might Hear You,Sumner Locke Elliot
0006754864,Flying High (Angels Unlimited S.),Annie Dalton
002036041X,Natural Pharmacy,Miriam Polunin
0006166598,A Kind of Anger,Eric Ambler
0060183683,Dead in the Water: A Novel,Stuart Woods
0020449313,The Yearling (Scribner Classics),Marjorie Kinnan Rawlings
002089130X,On Death &amp; Dying,Kubler Elisabeth Ross
0020434901,"M. C. Higgins, the Great",Virginia Hamilton
0060159790,Shining Through,Susan Isaacs
0020415133,Wolf Rider,Avi
0060172096,The Re-Enchantment of Everyday Life,Thomas Moore
0028631188,"Webster's New World College Dictionary, Indexed Fourth Edition",Michael E.  Agnes
0060172940,365 All-American Favorites,Sarah Reynolds
0060182369,Come to Me: Stories,Amy Bloom
0060001801,When Night Falls,Cait London
0060082070,Mortal Engines (The Hungry City Chronicles),Philip Reeve
0060012358,The Amazing Maurice and His Educated Rodents,Terry Pratchett
0030119537,A Glossary of Literary Terms,Michael H. Abrams
0028608437,Selling Out: If Famous Authors Wrote Advertising,Joey Green
0028639456,Complete Idiot's Guide to Wicca and Witchcraft,Denise Zimmermann
0006490603,James Cameron's Titanic,James Cameron
0060007192,Lemony Snicket: The Unauthorized Autobiography,Lemony Snicket
0007122039,"\Girls' Night Out\""/\""Boys' Night In\""""",Chris Manby
002411510X,Walden Two (Trade Book),B. F. Skinner
0060166789,Real Magic: Creating Miracles in Everyday Life,"Wayne W., Dr. Dyer"
0060169435,Hank &amp; Chloe,Jo-Ann Mapson
0004722124,Jane's Aircraft Recognition Guide (Jane's Aircraft Recognition Guide),David Rendall
0060176806,Love in Another Town,Barbara Taylor Bradford
0060160772,"Peace, Love and Healing: Bodymind Communication and the Path to Self-Healing : An Exploration","Bernie S., M.D. Siegel"
0060099089,Among the Heroes: United Flight 93 and the Passengers and Crew Who Fought Back,Jere Longman
0020518307,The Snows of Kilimanjaro and Other Stories (A Scribner classic),Ernest Hemingway
0030491266,Poetry of Robert Frost,Robert Frost
0060092653,Scandalous Again,Christina Dodd
0002255081,Spadework,Timothy Findley
0020303750,Jerry Baker's Flowering Garden,Jerry Baker
0060176059,Tales of Burning Love,Louise Erdrich
0060093463,Murder in Paradise: A Christmas in Hawaii Turns to Tragedy,Chris Loos
0060012781,A Cook's Tour : Global Adventures in Extreme Cuisines,Anthony Bourdain
0026217457,Vegetarian Times Complete Cookbook,Lucy  Moll
006009351X,Nostradamus: Prophecies for America,David Ovason
0002005050,The Romantic,Barbara Gowdy
0030595916,The Weather Works,Mike Wilks
0030073189,The Goblins of Labyrinth,Brian Froud
0060169087,When Did Wild Poodles Roam the Earth?: An Imponderables Book,David Feldman
0030056276,Check Your Egos at the Door (A Doonesbury book),Garry Trudeau
0006512801,Prospero's Children,Jan Siegel
0060164239,Coyote Waits,Tony Hillerman
000651202X,A Small Death in Lisbon,Robert Wilson
0020518803,To Have and Have Not (A Scribner Classic),Earnest Heminway
0002554119,"Labyrinth of Desire: Women, Passion, and Romantic Obsession",Rosemary Sullivan
0020869606,That Hideous Strength (A Modern Fairy-Tale for Grownups),C.S. Lewis
0020869509,Perelandra (Space Trilogy (Paperback)),C.S. Lewis
0020427107,White Mountains,John Christopher
0030448514,Doonesbury's greatest hits,G. B Trudeau
0030583497,Chemistry &amp; Chemical Reactivity (With Booklet for Students : How to Study Chemistry),John Kotz
0060169443,Blue Rodeo: A Novel,Jo-Ann Mapson
0025439472,The Shepherd,Joseph F. Girzone
0025439456,JOSHUA AND THE CHILDREN,Joseph F. Girzone
0007105150,The Real Witches Handbook,Kate West
0028619498,The Complete Idiot's Guide to Yoga (Complete Idiot's Guide to...),Joan Budilovsky
000470973X,Dogs Photo Guide (Collins Gem),Jane Edie
0004709721,Cats Photo Guide (Collins Gem),Deborah Gill
0025225804,"Cassell's Latin Dictionary : Latin-English, English-Latin",D. P.  Simpson
0028629558,The Complete Idiot's Guide to Managing Stress (2nd Edition),Jeffrey P. Davidson
000648302X,Before and After,Matthew Thomas
0028612787,The Complete Idiot's Guide to Living With a Cat (Complete Idiot's Guide),Carolyn Janik
006017773X,The Fallen Man,Tony Hillerman
0060094095,"Air Battle Force (Brown, Dale)",Dale Brown
0026638959,Human Heritage,Miriam S. Greenblatt
0027617319,Macmillan First Dictionary,Judith S. Levey
0060006617,A Perfect Bride,Samantha James
0060092181,The Highland Rogues: Warrior Bride (Highland Rogues),Lois Greiman
0060167149,"Rituals for Our Times: Celebrating, Healing, and Changing Our Lives and Our Relationships",Evan Imber-Black
0060004428,The Death Artist,Jonathan Santlofer
003014051X,Loveroot,Erica Jong
0060013125,Night Watch,Terry Pratchett
006018485X,Betty Sweet Tells All,Judith Minthorn Stacy
0020383142,Old New York,Edith Wharton
0060170387,Fever: Sensual Stories by Women Writers,Michele Slung
0044409494,Hollywoodn't: A Queer Postcard Book,Laurence Jaugey-Paget
0006363121,The Picnic and Suchlike Pandemonium,Gerald Durrell
0060090642,Birth of the Chess Queen : A History,Marilyn Yalom
0060097973,"Bell, Book, and Scandal : A Jane Jeffry Mystery (Jane Jeffry Mysteries (Hardcover))",Jill Churchill
006000584X,Bannerman's Ghosts,John R. Maxim
003057708X,The Official I Hate Cats Book,Skip. Morrow
0028650875,CIG to Managing People,Macmillan Publishing
0060161507,Pancakes and Waffles,Elizabeth Alston
0060005521,Nicola and the Viscount (An Avon True Romance),Meg Cabot
006000553X,Victoria and the Rogue (An Avon True Romance),Meg Cabot
0006492347,Insights from the Outfield (Peanuts at Work &amp; Play),Charles Schulz
0020264763,AGE OF INNOCENCE,Edith Wharton
0060011904,"Small Town : A Novel (Block, Lawrence)",Lawrence Block
0060013508,Gunsights,Elmore Leonard
0030127440,Crime and criminology,Sue Titus Reid
0028603702,The High-Performance Cookbook: 150 High-Carb Recipes for Peak Performance,Susan M. Kleiner
0007117507,Lillian Too's Smart Feng Shui for the Home,Lillian Too
